,체험지명,시도명,시군구명,경도,위도
455,은성사,서울,종로구,126.9901428,37.57077028
456,청담공방,서울,종로구,126.9901383,37.5707847
457,김현주갤러리,서울,종로구,126.9809797,37.5834912
458,모노프레임,서울,종로구,126.9813466,37.58333989
459,더바이츠,서울,종로구,126.9802189,37.58376498
460,후재전각실,서울,종로구,126.9815574,37.58233982
461,예지방,서울,종로구,126.9816772,37.58326066
462,A.M,서울,종로구,126.9810252,37.58287853
463,이언갤러리,서울,종로구,126.9805679,37.58231624
464,배진경의오국시대,서울,종로구,126.9805498,37.58243156
465,선불화공방,서울,종로구,126.981451,37.58218303
466,우물길정원,서울,종로구,126.9825307,37.5839077
467,가온갤러리,서울,종로구,126.9828294,37.5845916
468,갤러리 지우헌,서울,종로구,126.9829995,37.58338339
469,피프틴갤러리,서울,종로구,126.9819851,37.58345892
470,갤러리피앤킴,서울,종로구,126.9814654,37.58365526
471,직물놀이공방,서울,종로구,126.9840482,37.58227711
472,MGFS100gallery,서울,종로구,126.9818169,37.58616908
473,원앤제이갤러리,서울,종로구,126.9841415,37.57975795
474,피비갤러리,서울,종로구,126.9831346,37.58704865
475,향기갤러리,서울,종로구,126.9839112,37.57704412
476,온도,서울,종로구,126.9833071,37.58533318
477,송학아트,서울,종로구,126.9845813,37.57723162
478,갤러리노와이,서울,종로구,126.9837889,37.57706933
479,한나래그릇작업실,서울,종로구,126.9842235,37.57752349
480,스튜디오호세,서울,종로구,126.9831952,37.57908748
481,피앤씨토탈갤러리,서울,종로구,126.9815564,37.58666459
482,안녕,서울,종로구,126.9839518,37.57757031
483,로다아트,서울,종로구,126.984586,37.57635225
484,포트폴리오,서울,종로구,126.9822443,37.57879542
485,아기소,서울,종로구,126.9839971,37.57733245
486,송월,서울,종로구,126.9844818,37.57680634
487,진주쉘 북촌점,서울,종로구,126.9852146,37.58065548
488,제이엔엠갤러리,서울,종로구,126.9840261,37.57930834
489,스튜디오달고나,서울,종로구,126.9817956,37.58078835
