,상호명,시도명,시군구명,경도,위도
337,드림랜드글램핑,강원도,원주시,128.061377729227,37.432524817239
338,에코펜션,강원도,철원군,127.420986623329,38.20152018066
339,에버스노우펜션,강원도,평창군,128.694982749424,37.6986718029587
340,올레뜰펜션,강원도,홍천군,127.790700698117,37.6917757445962
341,히든하임펜션,강원도,양구군,128.072883491386,38.2091149906433
342,산골초가집,강원도,영월군,128.451577515437,37.316778885054
343,우리좋은펜션,강원도,철원군,127.410588678736,38.1642582904471
344,조대학쉼터,강원도,원주시,128.044060446272,37.4031205908175
345,이제너두1단지,강원도,횡성군,128.213468358856,37.4903784106917
346,솔방울펜션,강원도,홍천군,127.649542306752,37.6336648116498
347,아랫당숲캠핑장,강원도,원주시,128.084499078101,37.2629663373378
348,산장여관,강원도,영월군,128.267704931573,37.2714257267312
349,해뜰날펜션,강원도,강릉시,128.686059081401,37.8486374989744
350,국보펜션,강원도,영월군,128.547854281429,37.1179184433665
351,태백고원자연휴양림캠핑장,강원도,태백시,129.060376930859,37.1235886422627
352,아미가모텔,강원도,고성군,128.561766514264,38.2549411741703
353,낙산톡게스트하우스,강원도,양양군,128.632483781214,38.1179312468383
354,미사밸리펜션,강원도,영월군,128.640163803874,37.1009201802951
355,셀몬모텔,강원도,강릉시,128.897847542379,37.7621664971252
356,호트장,강원도,정선군,128.774469381917,37.2444599568608
357,씨젠콘도텔,강원도,양양군,128.630305028623,38.1165464354178
358,원주린비아토모텔,강원도,원주시,127.946806942397,37.3550157270847
359,해인레저,강원도,강릉시,128.733663816234,37.8801833816104
360,한스캠핑,강원도,원주시,128.178351439693,37.255022379138
361,일월꿀집민박,강원도,평창군,128.56592321822,37.5073365683269
362,경포우성펜션,강원도,강릉시,128.901843679327,37.8015014318093
363,솔모루캠핑장,강원도,평창군,128.467142983294,37.6846478113988
364,씨사이드힐,강원도,강릉시,129.045648131413,37.6481762187937
365,청태산힐링펜션,강원도,횡성군,128.25469860999,37.5201587040491
366,산사골펜션,강원도,홍천군,128.247583776497,37.7015771656047
367,개암벌용소캠핑장,강원도,홍천군,128.070720200919,37.8601926174088
368,의암레이크모텔,강원도,춘천시,127.677937558054,37.8767307947411
369,물과나무의집펜션,강원도,정선군,128.894578441393,37.5211724792294
370,아이리스스테이,강원도,강릉시,128.925191797712,37.7879493377639
371,폴게스트하우스,강원도,강릉시,128.901839123203,37.8048622493633
372,솔내음팬션,강원도,평창군,128.346948787002,37.6357025765809
373,한일장,강원도,철원군,127.217035197941,38.2090855573943
374,잣나무향기펜션,강원도,화천군,127.464696649265,38.0839064046764
375,쉘모텔,강원도,철원군,127.216723487896,38.2072725492089
376,모텔오렌지,강원도,양양군,128.607678519624,38.1550112912213
377,함백산식당민박,강원도,태백시,128.989809217254,37.1461678478981
378,HOTELMEMORY,강원도,강릉시,128.825208900079,37.888479247399
379,파파스,강원도,춘천시,127.574149795625,37.8122838824764
380,혜성펜션,강원도,철원군,127.27640301906,38.1996099467588
381,살둔산장,강원도,홍천군,128.369095959784,37.8314781915813
382,벧엘민박,강원도,양양군,128.629951435513,38.1165393219666
383,경포통나무펜션,강원도,강릉시,128.894267172208,37.8060101990921
384,웅하우스,강원도,강릉시,128.872618465583,37.8355906303427
385,경포솔내음흙집펜션,강원도,강릉시,128.890014058823,37.7875355434225
386,힐링펜션,강원도,철원군,127.313037377678,38.1574123989039
387,크로바,강원도,양양군,128.630022953924,38.1168993307639
388,알프스펜션,강원도,화천군,127.763093764852,38.1233771634662
389,별헤는밤펜션,강원도,철원군,127.211974816734,38.2039702869392
390,추억촌,강원도,강릉시,128.80302636276,37.7173487608428
391,아쿠아마린,강원도,동해시,129.089862491103,37.5897858207851
392,물소리와감자꽃필때펜션,강원도,평창군,128.544647826714,37.6628252723023
393,별빛바다펜션,강원도,삼척시,129.170461090727,37.4653469161304
394,달빛소리마을,강원도,인제군,128.211534594337,38.1590056210768
395,솔향기펜션,강원도,홍천군,128.434451044449,37.8274438976359
396,썬샤인스파펜션,강원도,춘천시,127.531819778286,37.835829396424
397,영아민박일번지,강원도,강릉시,128.826929738037,37.9061268577119
398,살리펜션,강원도,고성군,128.56487895898,38.2525837324781
399,그루터기펜션,강원도,영월군,128.341997544703,37.2932307197748
400,복주민박,강원도,철원군,127.46384248696,38.1571074379036
401,게스트하우스웨이브,강원도,속초시,128.58994105149,38.2123134451888
402,모텔마야,강원도,영월군,128.310941530371,37.1794681529528
403,옥녀탕유원지,강원도,화천군,127.44818844772,38.0948040877971
404,제너두가족호텔,강원도,인제군,128.354422822532,38.1919345823595
405,숲속의정원,강원도,고성군,128.489672708916,38.306537796768
406,에코글램핑,강원도,홍천군,127.605695499346,37.7041963660215
407,아리지핀란드펜션,강원도,철원군,127.277688099265,38.2093662815668
408,돌다리민박펜션,강원도,춘천시,127.641237735678,37.9716551767739
409,푸른마루펜션,강원도,홍천군,127.909404778705,37.7978361908057
410,용평알팬닷컴,강원도,평창군,128.715239316477,37.6695190857103
411,정동파크,강원도,강릉시,129.032699341441,37.6885210724385
412,마레펜션,강원도,강릉시,129.045159908195,37.648108463134
413,월드니스,강원도,영월군,128.220655750844,37.2999350745699
414,사랑더하기,강원도,강릉시,128.910057263701,37.7897611180929
415,자작도향기민박,강원도,고성군,128.542591104257,38.3098547306467
416,테마모텔,강원도,삼척시,129.168491769985,37.4433988923281
